Year,R&D_Trillion_Yen,Equipment_Trillion_Yen,Industry_Profit,Innovation_Focus,Regression_Residuals,Cluster
2015,2.837,1.302,5.85632,0.6854312635902392,0.020220536160358904,1
2016,2.807,1.33,6.05579,0.6785109983079526,0.24857960263705614,1
2017,2.929,1.29,6.1313,0.6942403413131074,0.13828024610349932,1
2018,2.931,1.534,6.20296,0.6564389697648376,-0.09496855454149955,1
2019,3.06,1.38,6.14241,0.6891891891891893,-0.18302901873374644,1
2020,3.716,1.225,7.0489,0.7520744788504351,-0.04439202510502582,1
2021,3.576,1.394,6.88423,0.7195171026156942,-0.26254926994625105,1
2022,3.919,1.419,7.73447,0.7341701011614837,0.09818669859058637,1
2023,4.338,1.533,8.31395,0.7388860500766479,-0.018316670691211456,1
2024,4.4,1.592,8.47923,0.7343124165554071,-0.03973101523648559,1
2025,4.65,1.62,8.59323,0.7416267942583732,-0.24895162670164517,1
2026,4.88,1.705,9.36046,0.7410782080485953,0.09989232099536238,1
