Year,R&D_Trillion_Yen,Equipment_Trillion_Yen,Industry_Profit,Innovation_Focus
2015,2.837,1.302,5.85632,0.6854312635902392
2016,2.807,1.33,6.05579,0.6785109983079526
2017,2.929,1.29,6.1313,0.6942403413131074
2018,2.931,1.534,6.20296,0.6564389697648376
2019,3.06,1.38,6.14241,0.6891891891891893
2020,3.716,1.225,7.0489,0.7520744788504351
2021,3.576,1.394,6.88423,0.7195171026156942
2022,3.919,1.419,7.73447,0.7341701011614837
2023,4.338,1.533,8.31395,0.7388860500766479
2024,4.4,1.592,8.47923,0.7343124165554071
2025,4.65,1.62,8.59323,0.7416267942583732
2026,4.88,1.705,9.36046,0.7410782080485953
